id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt,mentions
1022958938449498115,2018-07-27,17:36:31,EDT,2511507060,realllz,@radical6216 @alexwagner #ReuniteFamiliesNow,0,0,0,,#ReuniteFamiliesNow,https://twitter.com/realllz/status/1022958938449498115,,None,"alexwagner,radical6216"
1022951606348914689,2018-07-27,17:07:23,EDT,86151726,ansewl,@alexwagner Situation of children inexcusable. Their lives as well as their parents are irreparably damaged. None of this had to happen and no one is accepting responsibility or fixing  status. Shame all around.,0,0,0,,,https://twitter.com/ansewl/status/1022951606348914689,,None,alexwagner
1022944627412881408,2018-07-27,16:39:39,EDT,375392627,Sassy_Miss_T,@alexwagner These monsters told the children that their parents abandoned them.  How sick do you have to be to do that ?!,0,0,0,,,https://twitter.com/Sassy_Miss_T/status/1022944627412881408,,None,alexwagner
1022940960894996481,2018-07-27,16:25:05,EDT,1673311410,SargeNewcastle,"@alexwagner What are you talking about? They have a plan. They have told us the plan. They are executing the plan. The plan is to designate such children ""ineligible"" for re-unification, and that is the end of it. They are now wards of the state.",0,0,0,,,https://twitter.com/SargeNewcastle/status/1022940960894996481,,None,alexwagner
1022934989879562240,2018-07-27,16:01:21,EDT,562242110,outlazymedia,"@alexwagner Every time, Trump admin has to be forced to ""do the right thing."" Imagine if they were a business. They would go bankrupt just like Trump's businesses. It rots from the top.",0,0,0,,,https://twitter.com/outlazymedia/status/1022934989879562240,,None,alexwagner
1022934743040573441,2018-07-27,16:00:22,EDT,788156243173072897,PatAzarian,@alexwagner Totally outrageous,0,0,0,,,https://twitter.com/PatAzarian/status/1022934743040573441,,None,alexwagner
1022925944179306496,2018-07-27,15:25:24,EDT,216023637,JusticeInMotion,"@alexwagner As one of those groups helping to find the deported parents, we thank you for your work exposing this problem! It is crucial that people understand the extent to which non-governmental groups have had to step in to clean up the mess this administration is content to ignore.",0,0,1,,,https://twitter.com/JusticeInMotion/status/1022925944179306496,,None,alexwagner
1022925773223743488,2018-07-27,15:24:44,EDT,1219579814,JamesSurowiecki,"@DLind @alexwagner The status report does not say that ""all eligible"" reunifications have been complete. It says that all class members ""found to be eligible at this time"" (that is, at the time of the report) have been reunified. Those are totally different statements.",2,0,1,,,https://twitter.com/JamesSurowiecki/status/1022925773223743488,,None,"alexwagner,DLind"
1022923627098980352,2018-07-27,15:16:12,EDT,54208274,alexwagner,"@DLind @JamesSurowiecki ICE said yesterday it expected to complete all “eligible” reunifications by midnight Thursday, Pacific time. I’m not sure what is “blatantly untrue” about concluding that families of deportees are therefore not eligible, as the status reports suggest.",0,1,0,,,https://twitter.com/alexwagner/status/1022923627098980352,,None,"JamesSurowiecki,DLind"
1022922242508898304,2018-07-27,15:10:42,EDT,1219579814,JamesSurowiecki,"@DLind @alexwagner This is just blatantly untrue. The govt has not said they're ""not eligible"" for reunification. In the 7/23 status report it says they're ""either not eligible, or not yet known to be eligible."" 7/26 report says ""either not eligible, or not available for discharge at this time.""",2,0,0,,,https://twitter.com/JamesSurowiecki/status/1022922242508898304,,None,"alexwagner,DLind"
